VES_VAL_MO,VES_WGT_MO,PORT_NAME,time,PORT,port
3439162614,1213524503,"BALTIMORE, MD",2019-01,1303,Baltimore
3503063676,1120493870,"BALTIMORE, MD",2019-02,1303,Baltimore
3719890098,1063839057,"BALTIMORE, MD",2019-03,1303,Baltimore
4139140781,1075456430,"BALTIMORE, MD",2019-04,1303,Baltimore
3991269456,1197129890,"BALTIMORE, MD",2019-05,1303,Baltimore
3298934572,911483936,"BALTIMORE, MD",2019-06,1303,Baltimore
3747042519,1158451285,"BALTIMORE, MD",2019-07,1303,Baltimore
3433656497,950539182,"BALTIMORE, MD",2019-08,1303,Baltimore
3381158740,1017103618,"BALTIMORE, MD",2019-09,1303,Baltimore
3605021784,932469444,"BALTIMORE, MD",2019-10,1303,Baltimore
3319604251,951663950,"BALTIMORE, MD",2019-11,1303,Baltimore
3801104950,1236436720,"BALTIMORE, MD",2019-12,1303,Baltimore
3030853398,1095083791,"BALTIMORE, MD",2020-01,1303,Baltimore
2847839334,884809304,"BALTIMORE, MD",2020-02,1303,Baltimore
3636691279,953009628,"BALTIMORE, MD",2020-03,1303,Baltimore
2705167747,1202454837,"BALTIMORE, MD",2020-04,1303,Baltimore
2267245346,817212603,"BALTIMORE, MD",2020-05,1303,Baltimore
2129814481,939886731,"BALTIMORE, MD",2020-06,1303,Baltimore
2660427511,827551208,"BALTIMORE, MD",2020-07,1303,Baltimore
2733987059,952397728,"BALTIMORE, MD",2020-08,1303,Baltimore
3243146318,1135978999,"BALTIMORE, MD",2020-09,1303,Baltimore
3444442671,1055389052,"BALTIMORE, MD",2020-10,1303,Baltimore
3631104949,980183729,"BALTIMORE, MD",2020-11,1303,Baltimore
4394945962,1044069047,"BALTIMORE, MD",2020-12,1303,Baltimore
3524049844,1117314845,"BALTIMORE, MD",2021-01,1303,Baltimore
2713374604,763844997,"BALTIMORE, MD",2021-02,1303,Baltimore
4466387488,1237810855,"BALTIMORE, MD",2021-03,1303,Baltimore
3971305066,1162936208,"BALTIMORE, MD",2021-04,1303,Baltimore
3672779000,1008195669,"BALTIMORE, MD",2021-05,1303,Baltimore
3759916446,1035806977,"BALTIMORE, MD",2021-06,1303,Baltimore
3747376903,1004986884,"BALTIMORE, MD",2021-07,1303,Baltimore
3669858928,976804689,"BALTIMORE, MD",2021-08,1303,Baltimore
3328397893,1104903951,"BALTIMORE, MD",2021-09,1303,Baltimore
3321602367,1176012006,"BALTIMORE, MD",2021-10,1303,Baltimore
3631169205,939493499,"BALTIMORE, MD",2021-11,1303,Baltimore
4436907013,1414807650,"BALTIMORE, MD",2021-12,1303,Baltimore
4081217749,1040879502,"BALTIMORE, MD",2022-01,1303,Baltimore
3426863073,1054919826,"BALTIMORE, MD",2022-02,1303,Baltimore
4916318269,1088475474,"BALTIMORE, MD",2022-03,1303,Baltimore
4034022551,1170506390,"BALTIMORE, MD",2022-04,1303,Baltimore
5039683705,1282638863,"BALTIMORE, MD",2022-05,1303,Baltimore
5086384134,1370418220,"BALTIMORE, MD",2022-06,1303,Baltimore
4657663389,1078434415,"BALTIMORE, MD",2022-07,1303,Baltimore
5124239162,1345893409,"BALTIMORE, MD",2022-08,1303,Baltimore
4285782709,1279899312,"BALTIMORE, MD",2022-09,1303,Baltimore
4954605232,1204438682,"BALTIMORE, MD",2022-10,1303,Baltimore
4559281813,1010595765,"BALTIMORE, MD",2022-11,1303,Baltimore
5059257276,1189319936,"BALTIMORE, MD",2022-12,1303,Baltimore
5164904897,1284061390,"BALTIMORE, MD",2023-01,1303,Baltimore
4552190177,1120570030,"BALTIMORE, MD",2023-02,1303,Baltimore
4547395156,1241955465,"BALTIMORE, MD",2023-03,1303,Baltimore
4961759896,1167227668,"BALTIMORE, MD",2023-04,1303,Baltimore
4672603378,1153226553,"BALTIMORE, MD",2023-05,1303,Baltimore
5014468709,1080406617,"BALTIMORE, MD",2023-06,1303,Baltimore
5268985567,1326397768,"BALTIMORE, MD",2023-07,1303,Baltimore
4830123636,1080880835,"BALTIMORE, MD",2023-08,1303,Baltimore
4432872874,1062616610,"BALTIMORE, MD",2023-09,1303,Baltimore
4673811829,1126053551,"BALTIMORE, MD",2023-10,1303,Baltimore
4982785443,1072271777,"BALTIMORE, MD",2023-11,1303,Baltimore
5612417833,1117679875,"BALTIMORE, MD",2023-12,1303,Baltimore
4722395537,1140315385,"BALTIMORE, MD",2024-01,1303,Baltimore
4080443640,1030690605,"BALTIMORE, MD",2024-02,1303,Baltimore
4545638792,1017694205,"BALTIMORE, MD",2024-03,1303,Baltimore
1444669628,301460189,"BALTIMORE, MD",2024-04,1303,Baltimore
2469053607,505991025,"BALTIMORE, MD",2024-05,1303,Baltimore
3161018816,660253264,"BALTIMORE, MD",2024-06,1303,Baltimore
4110759129,805117123,"BALTIMORE, MD",2024-07,1303,Baltimore
4123301822,1068225751,"BALTIMORE, MD",2024-08,1303,Baltimore
4438645880,1020102942,"BALTIMORE, MD",2024-09,1303,Baltimore
3779464062,1008828202,"BALTIMORE, MD",2024-10,1303,Baltimore
5506358426,1122408899,"BALTIMORE, MD",2024-11,1303,Baltimore
5102787063,1159855495,"BALTIMORE, MD",2024-12,1303,Baltimore
4083567032,1087099272,"BALTIMORE, MD",2025-01,1303,Baltimore
4369532115,1106013909,"BALTIMORE, MD",2025-02,1303,Baltimore
5837464904,1394743026,"BALTIMORE, MD",2025-03,1303,Baltimore
4284973286,1120746413,"BALTIMORE, MD",2025-04,1303,Baltimore
4399149474,1291278977,"BALTIMORE, MD",2025-05,1303,Baltimore
4263224658,1156257648,"BALTIMORE, MD",2025-06,1303,Baltimore
4239463178,1166996689,"BALTIMORE, MD",2025-07,1303,Baltimore
3696027306,1029132031,"BALTIMORE, MD",2025-08,1303,Baltimore
3242809292,887545965,"BALTIMORE, MD",2025-09,1303,Baltimore
3689882409,1027192756,"BALTIMORE, MD",2025-10,1303,Baltimore
3728183501,992634366,"BALTIMORE, MD",2025-11,1303,Baltimore
4260044406,1172628312,"BALTIMORE, MD",2025-12,1303,Baltimore
3794917708,1000978437,"BALTIMORE, MD",2026-01,1303,Baltimore
3703782596,1088453706,"BALTIMORE, MD",2026-02,1303,Baltimore
4963578025,1173106556,"BALTIMORE, MD",2026-03,1303,Baltimore
4449952240,1250667489,"BALTIMORE, MD",2026-04,1303,Baltimore
4462376263,1015362949,"BALTIMORE, MD",2026-05,1303,Baltimore
4336995814,1179321326,"BALTIMORE, MD",2026-06,1303,Baltimore
4716487016,1093711252,"BALTIMORE, MD",2026-07,1303,Baltimore
4272750792,941059754,"NORFOLK-NEWPORT NEWS, VA",2019-01,1401,Norfolk
3821603907,878443343,"NORFOLK-NEWPORT NEWS, VA",2019-02,1401,Norfolk
3941114393,962819983,"NORFOLK-NEWPORT NEWS, VA",2019-03,1401,Norfolk
4538918941,1009982405,"NORFOLK-NEWPORT NEWS, VA",2019-04,1401,Norfolk
4405845299,977025777,"NORFOLK-NEWPORT NEWS, VA",2019-05,1401,Norfolk
3935916921,960900507,"NORFOLK-NEWPORT NEWS, VA",2019-06,1401,Norfolk
4473064989,995270633,"NORFOLK-NEWPORT NEWS, VA",2019-07,1401,Norfolk
4311232033,951941240,"NORFOLK-NEWPORT NEWS, VA",2019-08,1401,Norfolk
4246787620,958872631,"NORFOLK-NEWPORT NEWS, VA",2019-09,1401,Norfolk
4257904597,969409765,"NORFOLK-NEWPORT NEWS, VA",2019-10,1401,Norfolk
3958180018,802486855,"NORFOLK-NEWPORT NEWS, VA",2019-11,1401,Norfolk
3720324294,858143680,"NORFOLK-NEWPORT NEWS, VA",2019-12,1401,Norfolk
3885714113,851100128,"NORFOLK-NEWPORT NEWS, VA",2020-01,1401,Norfolk
3534534154,733481974,"NORFOLK-NEWPORT NEWS, VA",2020-02,1401,Norfolk
3702342990,877984556,"NORFOLK-NEWPORT NEWS, VA",2020-03,1401,Norfolk
3687068187,891412655,"NORFOLK-NEWPORT NEWS, VA",2020-04,1401,Norfolk
2977925874,815433960,"NORFOLK-NEWPORT NEWS, VA",2020-05,1401,Norfolk
3174477014,890867470,"NORFOLK-NEWPORT NEWS, VA",2020-06,1401,Norfolk
3476781067,801783568,"NORFOLK-NEWPORT NEWS, VA",2020-07,1401,Norfolk
3794325474,849808134,"NORFOLK-NEWPORT NEWS, VA",2020-08,1401,Norfolk
3883865766,872740145,"NORFOLK-NEWPORT NEWS, VA",2020-09,1401,Norfolk
4305081560,917135062,"NORFOLK-NEWPORT NEWS, VA",2020-10,1401,Norfolk
4060063368,934382139,"NORFOLK-NEWPORT NEWS, VA",2020-11,1401,Norfolk
3863210528,895474483,"NORFOLK-NEWPORT NEWS, VA",2020-12,1401,Norfolk
4330254961,950651393,"NORFOLK-NEWPORT NEWS, VA",2021-01,1401,Norfolk
3559999762,907395720,"NORFOLK-NEWPORT NEWS, VA",2021-02,1401,Norfolk
4521782168,1050642786,"NORFOLK-NEWPORT NEWS, VA",2021-03,1401,Norfolk
4775202768,1169072720,"NORFOLK-NEWPORT NEWS, VA",2021-04,1401,Norfolk
5202308913,1219802216,"NORFOLK-NEWPORT NEWS, VA",2021-05,1401,Norfolk
4960900375,1247719424,"NORFOLK-NEWPORT NEWS, VA",2021-06,1401,Norfolk
5352117239,1083487945,"NORFOLK-NEWPORT NEWS, VA",2021-07,1401,Norfolk
5195372608,1232154109,"NORFOLK-NEWPORT NEWS, VA",2021-08,1401,Norfolk
5401108312,1242972487,"NORFOLK-NEWPORT NEWS, VA",2021-09,1401,Norfolk
5486774349,1256379935,"NORFOLK-NEWPORT NEWS, VA",2021-10,1401,Norfolk
5636597733,1145951494,"NORFOLK-NEWPORT NEWS, VA",2021-11,1401,Norfolk
5628426117,1142003598,"NORFOLK-NEWPORT NEWS, VA",2021-12,1401,Norfolk
5372816784,1062050474,"NORFOLK-NEWPORT NEWS, VA",2022-01,1401,Norfolk
4994103864,1061430146,"NORFOLK-NEWPORT NEWS, VA",2022-02,1401,Norfolk
